                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77744,                    0.6,                      1,                 0.7277,                      0,                      0,                      0
                      2,                0.82382,                    0.6,                      1,                0.73116,             4.7838e-06,             4.7838e-06,             4.7838e-06
                      3,                0.78592,                    0.6,                      1,                0.73282,             4.8552e-06,             4.8552e-06,             4.8552e-06
